 HIE  "HB3"  0.036700
 HIE   "CG"  0.186800
 HIE  "ND1" -0.543200
 HIE  "CE1"  0.163500
 HIE  "HE1"  0.143500
 HIE  "NE2" -0.279500
 HIE  "HE2"  0.333900
 HIE  "CD2" -0.220700
 HIE  "HD2"  0.186200
 HIE    "C"  0.597300
 HIE    "O" -0.567900
 HIP    "N" -0.347900
 HIP    "H"  0.274700
 HIP   "CA" -0.135400
 HIP   "HA"  0.121200
 HIP   "CB" -0.041400
 HIP  "HB2"  0.081000
 HIP  "HB3"  0.081000
 HIP   "CG" -0.001200
 HIP  "ND1" -0.151300
 HIP  "HD1"  0.386600
 HIP  "CE1" -0.017000
 HIP  "HE1"  0.268100
 HIP  "NE2" -0.171800
 HIP  "HE2"  0.391100
 HIP  "CD2" -0.114100
 HIP  "HD2"  0.231700
 HIP    "C"  0.734100
 HIP    "O" -0.589400
 ILE    "N" -0.415700
 ILE    "H"  0.271900
 ILE   "CA" -0.059700
 ILE   "HA"  0.086900
 ILE   "CB"  0.130300
 ILE   "HB"  0.018700
 ILE  "CG2" -0.320400
 ILE "HG21"  0.088200
 ILE "HG22"  0.088200
 ILE "HG23"  0.088200
 ILE  "CG1" -0.043000
 ILE "HG12"  0.023600
 ILE "HG13"  0.023600
 ILE  "CD1" -0.066000
 ILE "HD11"  0.018600
 ILE "HD12"  0.018600
 ILE "HD13"  0.018600
 ILE    "C"  0.597300
 ILE    "O" -0.567900
 LEU    "N" -0.415700
 LEU    "H"  0.271900
 LEU   "CA" -0.051800
 LEU   "HA"  0.092200
 LEU   "CB" -0.110200
 LEU  "HB2"  0.045700
 LEU  "HB3"  0.045700
 LEU   "CG"  0.353100
 LEU   "HG" -0.036100
 LEU  "CD1" -0.412100
 LEU "HD11"  0.100000
 LEU "HD12"  0.100000
 LEU "HD13"  0.100000
 LEU  "CD2" -0.412100
 LEU "HD21"  0.100000
 LEU "HD22"  0.100000
 LEU "HD23"  0.100000
 LEU    "C"  0.597300
